dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,41.6666666667,0.01,0.024,0,0,6,151.781965241,57.3168529521,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,1,0,6,127.303910588,52.5104261024,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,2,0,7,101.661734663,81.9198875759,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,3,0,8,105.058213106,26.9247376698,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,4,0,5,242.40752844,26.4702927801,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,5,0,7,141.473391387,19.3301214287,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,6,0,11,67.6198215308,46.6352410864,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,7,0,11,66.6263230889,40.5161461446,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,8,0,8,115.735771464,24.7566702781,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,9,0,11,85.4579841312,25.7630088778,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,0,1,7,80.1763694475,69.6226124578,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,1,1,8,82.5568384877,57.0932076491,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,2,1,7,114.76400618,54.7362321772,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,3,1,8,95.129886114,37.1890815756,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,4,1,10,57.2266037301,57.6330661461,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,5,1,8,141.621499428,19.9884150369,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,6,1,9,85.3098801488,54.5628573119,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,7,1,12,81.0379082117,21.6081522016,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,8,1,10,84.3590505172,22.9883299338,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,9,1,8,96.3717394578,46.1017843587,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,0,2,9,86.6287094683,35.9102350188,831.957984076,331.679796218
10,10,100.0,41.6666666667,0.01,0.024,1,2,10,97.5445031532,26.2457619236,831.957984076,331.679796218
