dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,41.6666666667,0.01,0.024,0,0,5,178.903643281,31.657076338,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,1,0,10,68.8153077923,36.1214414089,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,2,0,8,96.8256805493,47.0930973093,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,3,0,8,116.502537905,40.2026606774,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,4,0,10,91.4638236824,22.7197687507,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,5,0,7,154.129447797,33.6672109952,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,6,0,9,92.6959391627,29.9224339817,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,7,0,11,55.5560739536,42.9645548471,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,8,0,10,71.0783792008,55.0433798548,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,9,0,11,69.0227753021,35.4151691857,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,0,1,5,196.930347236,82.7586546873,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,1,1,7,163.959967534,34.6339731213,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,2,1,7,118.356834221,41.9892105238,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,3,1,6,126.130010612,64.6629133008,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,4,1,5,147.800858573,65.1977695602,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,5,1,9,115.799208422,27.3161676474,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,6,1,6,162.569175337,42.2816067934,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,7,1,10,95.7434173699,42.0234479323,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,8,1,11,79.8796038547,39.107753541,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,9,1,5,144.066657985,78.3778450474,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,0,2,10,82.0049757868,34.653141765,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,1,2,6,139.943324846,39.6579202171,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,2,2,9,96.078820868,35.7523112511,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,3,2,10,67.4748375392,47.8586528761,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,4,2,7,127.48044865,29.8060699363,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,5,2,6,134.341707247,52.8074298514,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,6,2,10,80.9777432613,34.8316639496,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,7,2,7,111.875105525,46.957063162,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,8,2,10,85.297432296,23.3103189021,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,9,2,9,92.1114110255,38.9308407276,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,0,3,8,91.2549414809,51.32225253,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,1,3,8,75.1135165846,61.7229844714,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,2,3,8,102.878621506,61.7621250986,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,3,3,8,82.9433858702,63.5230566151,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,4,3,6,150.379356625,40.2752236273,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,5,3,8,94.7801125449,46.5994573844,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,6,3,6,135.920454734,59.6541792652,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,7,3,9,70.4206025273,52.0509267546,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,8,3,4,238.350003061,40.0378755468,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,9,3,7,121.313836173,39.0321956338,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,0,4,9,107.725112122,33.9255808609,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,1,4,14,52.161691754,27.4878934066,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,2,4,9,87.1037991908,56.4380026511,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,3,4,6,144.828919496,40.4585572442,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,4,4,8,120.824052948,36.8013964954,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,5,4,10,95.0500014845,37.1356389022,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,6,4,9,75.4049260068,65.2111284651,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,7,4,13,50.6286704364,41.0454311558,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,8,4,7,75.8263479301,79.3885203079,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,9,4,9,80.7639679431,36.0312374791,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,0,5,13,71.4905670012,24.7108690131,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,1,5,8,108.920974811,26.3890375644,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,2,5,8,82.1719809389,50.2880617754,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,3,5,8,93.4431958872,43.1237221192,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,4,5,8,131.674904945,40.9550739515,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,5,5,10,75.8334544216,45.0109982589,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,6,5,8,108.153162911,33.8296084276,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,7,5,6,156.190112645,23.6683696111,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,8,5,8,105.326495115,74.4682810452,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,9,5,8,105.399750955,26.4401719134,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,0,6,9,101.804022131,23.4699398868,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,1,6,8,78.698972983,52.8168279488,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,2,6,9,97.3537888561,35.3111050715,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,3,6,8,156.028861102,30.0501791752,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,4,6,9,107.299986406,40.1364830844,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,5,6,9,80.8037174493,50.4750221682,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,6,6,7,162.996823441,25.429062244,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,7,6,10,101.825633814,22.1371255628,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,8,6,7,134.624270739,47.3378551576,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,9,6,6,108.564934654,72.7931756352,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,0,7,6,153.429542956,29.9078708402,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,1,7,12,47.5780367217,42.2217564469,839.749929808,342.117349639
10,10,100.0,41.6666666667,0.01,0.024,2,7,7,123.246202957,31.2181126157,839.749929808,342.117349639
