dim_col,dim_row,round,drone_speed,sec_Buf,sec_Dur,lam_Buf,lam_Dur,random,col,row,time,event_id,mssd_evnts
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,0,0,0,0,5,
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,1,0,0,0,10,
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,2,0,1531296850.84,1,7
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,3,0,1531296890.79,1,5
3,0,1531297720.79,6,5
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,4,0,1531297740.97,7,9
4,0,1531297755.6,7,9
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,5,0,0,0,7,
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,6,0,1531297767.9,8,8
6,0,1531297780.32,8,8
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,7,0,1531297589.14,8,8
7,0,1531297615.1,8,8
7,0,1531297628.84,8,8
7,0,1531297772.55,10,8
7,0,1531297047.94,3,8
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,8,0,1531297467.62,6,7
8,0,1531297621.55,6,7
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,9,0,0,0,11,
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,0,1,0,0,5,
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,1,1,0,0,6,
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,2,1,1531296957.6,1,4
2,1,1531296971.02,1,4
2,1,1531297136.52,3,4
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,3,1,1531297728.74,5,5
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,4,1,0,0,5,
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,5,1,1531297068.52,1,7
5,1,1531297082.04,1,7
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,6,1,0,0,6,
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,7,1,1531297543.75,8,6
7,1,1531297595.22,8,6
7,1,1531297609.15,8,6
7,1,1531297792.13,9,6
7,1,1531297236.43,4,6
7,1,1531297482.05,7,6
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,8,1,1531297268.97,4,8
8,1,1531297489.94,7,8
10,10,974.592770203,10,100.0,41.6666666667,0.01,0.024,0,9,1,0,0,5,
