dim_col,dim_row,round,drone_speed,sec_Buf,sec_Dur,lam_Buf,lam_Dur,random,col,row,time,event_id,mssd_evnts
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,0,0,1531301081.28,1,5
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,1,0,1531301110.12,1,4
1,0,1531301124.45,1,4
1,0,1531301151.7,1,4
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,2,0,1531301091.86,2,7
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,3,0,0,0,7,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,4,0,0,0,8,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,5,0,1531301877.85,5,5
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,6,0,1531301937.91,11,10
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,7,0,1531301888.45,6,6
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,8,0,1531301704.37,5,5
8,0,1531301927.11,6,5
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,9,0,0,0,9,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,0,1,1531301139.38,1,8
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,1,1,1531301044.04,1,8
1,1,1531301057.95,2,8
1,1,1531301104.27,2,8
1,1,1531301215.71,3,8
1,1,1531301229.74,3,8
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,2,1,1531301097.81,1,7
2,1,1531301175.23,1,7
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,3,1,0,0,6,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,4,1,1531301186.75,2,5
4,1,1531301505.57,3,5
4,1,1531301607.13,5,5
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,5,1,0,0,9,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,6,1,0,0,7,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,7,1,0,0,6,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,8,1,0,0,6,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,9,1,1531301717.38,11,12
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,0,2,0,0,6,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,1,2,0,0,9,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,2,2,1531301256.8,3,11
2,2,1531301424.83,4,11
2,2,1531301452.4,5,11
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,3,2,1531301564.33,2,6
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,4,2,1531301559.57,4,7
4,2,1531301601.37,5,7
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,5,2,0,0,6,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,6,2,1531301974.44,6,6
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,7,2,0,0,4,
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,8,2,1531301695.3,5,5
8,2,1531301903.5,6,5
10,10,974.592770203,10,100.0,35.7142857143,0.01,0.028,0,9,2,0,0,8,
