dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,35.7142857143,0.01,0.028,0,0,9,102.799055426,35.5397181031,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,1,0,4,180.519709977,93.0007361611,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,2,0,4,247.811455146,40.0429094819,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,3,0,9,98.6083821521,25.3623629442,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,4,0,8,114.852255157,33.1647951482,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,5,0,12,53.5957988173,34.1991001322,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,6,0,5,208.012728517,33.0142438851,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,7,0,8,76.2624450172,72.831954984,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,8,0,6,143.37213396,51.6880943991,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,9,0,8,79.7215271415,51.7546352718,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,0,1,4,197.375145292,65.1416040409,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,1,1,7,124.142063137,35.7373936407,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,2,1,7,113.673839449,41.6579071188,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,3,1,8,136.237752347,13.0246525461,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,4,1,6,114.130391529,64.719680767,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,5,1,8,108.291358063,24.4428726419,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,6,1,9,110.984205172,25.307030509,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,7,1,10,50.4562248066,56.4799338858,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,8,1,8,79.5319518324,59.9094417762,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,9,1,6,122.142133905,71.2968770123,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,0,2,7,134.152612297,27.8626335284,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,1,2,9,90.4193445314,38.4165356509,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,2,2,7,93.9411966461,59.7404693194,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,3,2,9,82.5623082631,45.5572113751,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,4,2,6,162.490778038,40.7819257482,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,5,2,9,92.7981497108,23.6751761133,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,6,2,8,121.101326035,15.6954104475,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,7,2,9,126.145181354,35.2033224467,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,8,2,6,119.982098022,71.6423391623,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,9,2,13,51.8203734833,35.0383481995,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,0,3,10,97.5314225936,32.7929668793,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,1,3,9,87.9836968687,38.9859086562,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,2,3,10,98.5268131639,22.1267265118,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,3,3,9,80.506732573,37.2579929168,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,4,3,9,93.049106642,27.4799009583,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,5,3,8,118.733457113,36.5566026217,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,6,3,11,74.1338877654,27.3577219279,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,7,3,6,164.185204156,17.1469190765,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,8,3,12,67.401810605,27.0016916341,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,9,3,7,130.48891341,21.8900239632,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,0,4,8,94.5640984073,41.2997756436,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,1,4,7,118.927990391,32.4553789418,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,2,4,11,66.8041179714,33.3977045034,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,3,4,6,172.755329483,23.5589576465,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,4,4,9,87.8763683397,39.3229213879,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,5,4,9,77.7634571614,42.9552891987,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,6,4,9,110.402084671,23.04013584,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,7,4,8,118.652551205,27.600945538,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,8,4,8,90.610399891,54.2047587285,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,9,4,10,67.8591838691,46.3584072049,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,0,5,5,194.846115066,37.6275822675,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,1,5,8,85.5840777977,51.7992043808,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,2,5,7,127.939661795,28.5597483871,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,3,5,4,224.88676545,38.3295459346,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,4,5,8,111.723777671,44.075778286,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,5,5,9,88.9432712826,36.1473148839,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,6,5,5,176.768029542,41.2289669012,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,7,5,13,58.8612105397,31.2169869725,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,8,5,13,41.6245676352,40.9280191096,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,9,5,5,129.417762872,80.0904585851,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,0,6,9,76.1640400859,41.9028922618,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,1,6,7,107.561062741,73.3131180377,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,2,6,10,103.878435071,33.0485920351,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,3,6,8,109.92978098,25.9290019487,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,4,6,8,120.481021346,10.9740034852,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,5,6,8,112.90038585,50.0415571186,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,6,6,4,262.453057398,22.846955998,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,7,6,10,82.2796839137,29.2238891855,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,8,6,7,148.841231666,25.3076986269,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,9,6,11,74.2093894502,26.9052229304,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,0,7,6,189.623193672,35.1937633204,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,1,7,10,82.7156159918,24.6146919995,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,2,7,8,107.730159481,36.6634619482,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,3,7,6,156.323679153,31.6504928128,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,4,7,7,131.51804719,40.3760310756,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,5,7,10,87.1982788111,27.0263291901,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,6,7,14,50.8923300758,27.1148663321,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,7,7,9,95.6490846162,21.5194946409,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,8,7,7,123.732024724,28.4982232207,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,9,7,6,176.117980969,16.2311199473,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,0,8,12,71.1377604921,19.0558725493,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,1,8,6,163.700003107,20.2047511772,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,2,8,6,173.665047507,61.6983405388,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,3,8,12,83.4107486099,29.6886389322,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,4,8,9,99.86007742,32.2012301968,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,5,8,8,120.902408921,14.3685888033,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,6,8,6,138.245361085,37.8550120155,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,7,8,10,84.5291860694,29.2468002196,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,8,8,11,63.1584671266,35.814859533,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,9,8,8,104.617545565,45.5136782748,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,0,9,7,119.138240702,32.3421334224,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,1,9,8,107.205162209,36.1133532082,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,2,9,9,99.6932100088,20.17962163,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,3,9,13,72.4293225456,26.995820036,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,4,9,7,110.267339926,43.042103381,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,5,9,9,106.574223113,22.4026100354,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,6,9,13,43.0341129018,40.2309077273,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,7,9,11,77.2729856283,29.1405213999,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,8,9,14,73.2190918995,33.4174514529,852.745447014,294.409240998
10,10,100.0,35.7142857143,0.01,0.028,9,9,7,140.589761281,20.6097836751,852.745447014,294.409240998
