dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,62.5,0.01,0.016,0,0,7,117.6928626,34.3309848045,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,1,0,6,166.883828396,35.8408388524,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,2,0,3,212.270587978,151.320743167,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,3,0,7,76.1450557195,93.7852276171,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,4,0,7,95.7707001807,69.0712344781,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,5,0,6,93.4062959465,94.3206977931,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,6,0,8,73.5937617683,71.0568157224,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,7,0,6,153.341699006,33.4480427681,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,8,0,7,97.8709698021,52.7724068723,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,9,0,6,169.1061281,57.8186474826,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,0,1,10,56.4897059262,71.3495643833,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,1,1,6,151.336986302,27.4231386681,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,2,1,6,93.6973437508,92.1978427896,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,3,1,7,65.8734959891,102.390451957,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,4,1,13,51.2120007113,37.5166114438,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,5,1,10,41.1091741602,69.9635923205,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,6,1,6,137.014968743,50.6695487477,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,7,1,7,95.4587027502,71.2884455306,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,8,1,9,81.8010836938,46.7554361382,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,9,1,9,99.5364833443,43.6074196763,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,0,2,8,103.302023818,39.7707376308,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,1,2,8,73.1981722373,69.5701289103,708.527130484,451.460608434
10,10,100.0,62.5,0.01,0.016,2,2,6,148.013350169,63.8392690517,708.527130484,451.460608434
