dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,125.0,0.01,0.008,0,0,5,132.456906525,90.6679880783,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,1,0,6,64.3364374395,118.290015282,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,2,0,6,52.3009742687,151.063137041,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,3,0,5,160.213400526,78.0616784905,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,4,0,7,110.806980179,54.3018410216,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,5,0,4,228.485127186,130.545387798,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,6,0,6,116.306816127,60.2501583196,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,7,0,9,43.345632095,90.7864800178,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,8,0,6,137.208364864,88.7177907628,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,9,0,6,106.486182399,126.644156094,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,0,1,6,138.998972619,73.8348918584,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,1,1,3,191.849081132,171.427504924,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,2,1,6,88.3023865918,103.813483138,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,3,1,5,98.6157315194,129.74659061,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,4,1,6,33.6715276391,144.843090167,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,5,1,6,65.8884169532,119.149749781,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,6,1,3,122.252892583,262.895039081,545.38854641,672.122832404
10,10,100.0,125.0,0.01,0.008,7,1,5,98.4325362068,149.089144101,545.38854641,672.122832404
