dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,31.25,0.01,0.032,0,0,10,78.3320665718,40.7196736777,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,1,0,11,82.1806106357,25.2245585254,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,2,0,7,107.930808298,47.9619611402,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,3,0,11,69.6100877214,26.6866103872,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,4,0,8,111.909817592,44.1919283633,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,5,0,8,98.6217458484,47.8132733128,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,6,0,10,78.0128700409,28.6822989318,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,7,0,4,239.32077708,30.8189395107,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,8,0,10,83.6078539469,35.6212313499,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,9,0,9,100.20425898,41.1676405147,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,0,1,7,118.810322325,31.7441400575,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,1,1,10,77.4438333262,31.6331243385,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,2,1,11,62.0704456004,42.5917015552,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,3,1,7,142.244693071,20.8702969888,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,4,1,9,104.918626884,30.5042904294,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,5,1,8,100.589019021,34.721707212,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,6,1,9,84.2281522207,34.977899836,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,7,1,7,132.612709795,28.6691794387,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,8,1,6,158.959838467,27.549932651,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,9,1,8,136.089904676,47.085771211,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,0,2,10,82.8163076924,24.7164742792,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,1,2,11,79.1982982114,17.5069265527,876.948482778,284.251895438
10,10,100.0,31.25,0.01,0.032,2,2,7,124.506520206,50.6715386763,876.948482778,284.251895438
