dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,33.3333333333,0.01,0.03,0,0,10,81.9216548182,25.3678618838,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,1,0,10,80.8609356549,35.3291117339,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,2,0,9,72.9782588982,43.5354905852,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,3,0,8,120.219756542,17.6150272827,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,4,0,12,54.0297248023,40.07205415,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,5,0,9,82.777067148,37.0821925017,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,6,0,12,75.4092550772,24.7540530174,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,7,0,10,87.6850285596,23.5085726907,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,8,0,11,78.4569250372,24.0463298764,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,9,0,8,108.12099199,35.700893259,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,0,1,10,69.075479952,49.29420002,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,1,1,12,67.7741349457,28.5913784539,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,2,1,11,75.400122813,30.3094142751,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,3,1,9,95.8795448574,24.204843152,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,4,1,9,100.958000911,37.2147622446,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,5,1,6,141.59845908,43.6093486297,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,6,1,9,99.7573894733,28.2888074949,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,7,1,10,86.8361251017,20.8860921822,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,8,1,9,78.9375189175,43.2055162125,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,9,1,10,77.6448043359,31.6804954171,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,0,2,5,208.791956885,55.7641494161,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,1,2,7,119.061007929,54.4440217201,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,2,2,8,113.209100083,19.6159892095,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,3,2,8,95.9054773971,43.5020279024,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,4,2,6,113.914413145,61.7276331639,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,5,2,5,162.252190223,56.0194150614,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,6,2,13,62.4856395834,22.9209426441,847.685147972,295.804282627
10,10,100.0,33.3333333333,0.01,0.03,7,2,8,120.527520432,27.2628881821,847.685147972,295.804282627
