dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,41.6666666667,0.01,0.024,0,0,7,161.438774683,27.8084773636,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,1,0,7,139.105107279,16.5203876309,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,2,0,6,181.569564147,19.8451627452,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,3,0,8,120.642112449,38.2229573736,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,4,0,12,61.5946837676,27.5041822058,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,5,0,9,93.6120822537,26.7279993243,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,6,0,10,77.8610880019,36.3171345883,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,7,0,8,103.678611567,52.1039074001,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,8,0,7,135.311568276,48.4749053833,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,9,0,10,85.3784702518,21.1698990288,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,0,1,7,102.398766559,50.024086701,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,1,1,5,188.168584515,43.5082681864,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,2,1,10,82.9382676863,28.4585663796,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,3,1,10,73.9724986496,35.4635584071,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,4,1,9,95.1628477845,30.3090732555,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,5,1,10,81.2381402917,28.0172390854,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,6,1,8,67.3951181853,65.7260878582,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,7,1,11,66.0190518822,35.2915835436,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,8,1,6,168.558285206,29.6156069014,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,9,1,10,82.9370904463,22.9706966281,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,0,2,9,92.172503569,24.7804478699,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,1,2,13,54.1816046469,38.4017259015,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,2,2,7,112.277454743,41.1214317682,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,3,2,10,99.8970130808,53.8190144968,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,4,2,7,156.852951509,22.9113825855,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,5,2,5,183.236241406,102.684145058,825.905315935,335.760293424
10,10,100.0,41.6666666667,0.01,0.024,6,2,7,107.142894767,42.6444912625,825.905315935,335.760293424
