dim_col,dim_row,round,drone_speed,sec_Buf,sec_Dur,lam_Buf,lam_Dur,random,col,row,time,event_id,mssd_evnts
10,10,200,10,100.0,100.0,0.01,0.01,0,0,0,0,0,6,
10,10,200,10,100.0,100.0,0.01,0.01,0,1,0,1531245044.81,2,4
10,10,200,10,100.0,100.0,0.01,0.01,0,2,0,0,0,4,
10,10,200,10,100.0,100.0,0.01,0.01,0,3,0,0,0,3,
10,10,200,10,100.0,100.0,0.01,0.01,0,4,0,0,0,7,
10,10,200,10,100.0,100.0,0.01,0.01,0,5,0,0,0,5,
10,10,200,10,100.0,100.0,0.01,0.01,0,6,0,1531244537.58,1,5
6,0,1531245329.57,6,5
10,10,200,10,100.0,100.0,0.01,0.01,0,7,0,1531245335.61,5,5
10,10,200,10,100.0,100.0,0.01,0.01,0,8,0,1531245423.0,7,7
10,10,200,10,100.0,100.0,0.01,0.01,0,9,0,1531245429.95,7,8
10,10,200,10,100.0,100.0,0.01,0.01,0,0,1,1531244603.41,1,6
10,10,200,10,100.0,100.0,0.01,0.01,0,1,1,0,0,4,
10,10,200,10,100.0,100.0,0.01,0.01,0,2,1,1531245133.39,6,8
10,10,200,10,100.0,100.0,0.01,0.01,0,3,1,1531245149.71,3,4
10,10,200,10,100.0,100.0,0.01,0.01,0,4,1,1531244583.47,1,5
10,10,200,10,100.0,100.0,0.01,0.01,0,5,1,1531244578.64,1,5
5,1,1531245246.23,5,5
10,10,200,10,100.0,100.0,0.01,0.01,0,6,1,0,0,6,
10,10,200,10,100.0,100.0,0.01,0.01,0,7,1,1531245341.35,4,4
10,10,200,10,100.0,100.0,0.01,0.01,0,8,1,1531244564.34,1,4
10,10,200,10,100.0,100.0,0.01,0.01,0,9,1,0,0,4,
10,10,200,10,100.0,100.0,0.01,0.01,0,0,2,0,0,4,
10,10,200,10,100.0,100.0,0.01,0.01,0,1,2,0,0,4,
10,10,200,10,100.0,100.0,0.01,0.01,0,2,2,1531245128.85,4,5
10,10,200,10,100.0,100.0,0.01,0.01,0,3,2,0,0,5,
10,10,200,10,100.0,100.0,0.01,0.01,0,4,2,1531245225.8,3,3
10,10,200,10,100.0,100.0,0.01,0.01,0,5,2,0,0,4,
10,10,200,10,100.0,100.0,0.01,0.01,0,6,2,1531245320.92,4,5
10,10,200,10,100.0,100.0,0.01,0.01,0,7,2,0,0,4,
10,10,200,10,100.0,100.0,0.01,0.01,0,8,2,1531244649.22,1,3
8,2,1531245414.32,4,3
10,10,200,10,100.0,100.0,0.01,0.01,0,9,2,1531245440.51,5,4
10,10,200,10,100.0,100.0,0.01,0.01,0,0,3,0,0,5,
10,10,200,10,100.0,100.0,0.01,0.01,0,1,3,1531244700.14,2,5
10,10,200,10,100.0,100.0,0.01,0.01,0,2,3,0,0,5,
10,10,200,10,100.0,100.0,0.01,0.01,0,3,3,1531245159.06,2,2
10,10,200,10,100.0,100.0,0.01,0.01,0,4,3,1531245221.27,4,3
10,10,200,10,100.0,100.0,0.01,0.01,0,5,3,1531245255.9,5,6
10,10,200,10,100.0,100.0,0.01,0.01,0,6,3,1531245316.59,6,6
10,10,200,10,100.0,100.0,0.01,0.01,0,7,3,1531245350.41,5,6
10,10,200,10,100.0,100.0,0.01,0.01,0,8,3,1531244666.63,1,4
8,3,1531245410.0,5,4
10,10,200,10,100.0,100.0,0.01,0.01,0,9,3,0,0,4,
10,10,200,10,100.0,100.0,0.01,0.01,0,0,4,1531244711.42,1,4
0,4,1531245021.47,3,4
10,10,200,10,100.0,100.0,0.01,0.01,0,1,4,1531245066.36,4,6
10,10,200,10,100.0,100.0,0.01,0.01,0,2,4,1531244721.79,1,6
