dim_col,dim_row,round,drone_speed,sec_Buf,sec_Dur,lam_Buf,lam_Dur,random,col,row,time,event_id,mssd_evnts
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,0,0,0,0,10,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,1,0,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,2,0,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,3,0,1531295203.74,3,6
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,4,0,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,5,0,1531295281.88,4,6
5,0,1531295305.41,4,6
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,6,0,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,7,0,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,8,0,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,9,0,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,0,1,0,0,8,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,1,1,1531295379.11,4,5
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,2,1,1531295261.86,3,4
2,1,1531295341.97,3,4
2,1,1531295356.4,3,4
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,3,1,1531295123.32,8,10
3,1,1531295149.03,8,10
3,1,1531295209.5,9,10
3,1,1531295266.71,9,10
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,4,1,1531295037.78,3,10
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,5,1,1531295043.83,2,6
5,1,1531295057.24,2,6
5,1,1531295275.62,3,6
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,6,1,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,7,1,0,0,4,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,8,1,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,9,1,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,0,2,0,0,5,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,1,2,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,2,2,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,3,2,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,4,2,1531295399.53,3,5
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,5,2,1531295403.87,7,11
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,6,2,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,7,2,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,8,2,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,9,2,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,0,3,0,0,11,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,1,3,1531294785.81,2,7
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,2,3,0,0,8,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,3,3,1531295455.87,7,9
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,4,3,0,0,5,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,5,3,1531295466.35,8,8
5,3,1531294944.77,3,8
5,3,1531294970.7,3,8
5,3,1531294983.5,3,8
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,6,3,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,7,3,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,8,3,0,0,5,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,9,3,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,0,4,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,1,4,0,0,11,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,2,4,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,3,4,1531294900.66,1,7
3,4,1531295496.93,7,7
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,4,4,1531295478.68,3,3
4,4,1531295503.08,3,3
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,5,4,1531294853.25,1,9
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,6,4,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,7,4,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,8,4,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,9,4,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,0,5,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,1,5,0,0,5,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,2,5,1531294815.28,1,8
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,3,5,1531295489.48,8,10
3,5,1531294896.01,1,10
3,5,1531295541.32,9,10
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,4,5,1531294826.38,1,6
4,5,1531294839.82,1,6
4,5,1531295547.57,6,6
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,5,5,1531294917.42,1,7
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,6,5,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,7,5,0,0,10,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,8,5,0,0,8,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,9,5,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,0,6,0,0,10,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,1,6,0,0,8,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,2,6,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,3,6,1531295535.37,8,7
3,6,1531295585.0,9,7
3,6,1531295600.64,9,7
3,6,1531294889.85,2,7
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,4,6,1531295529.11,8,8
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,5,6,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,6,6,0,0,10,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,7,6,0,0,5,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,8,6,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,9,6,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,0,7,1531295698.23,6,6
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,1,7,1531295704.48,7,6
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,2,7,0,0,6,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,3,7,0,0,5,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,4,7,0,0,7,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,5,7,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,6,7,0,0,9,
10,10,974.592770203,10,100.0,45.4545454545,0.01,0.022,0,7,7,0,0,9,
