dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,45.4545454545,0.01,0.022,0,0,10,51.3558022084,59.9452180042,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,1,0,8,98.3895177102,35.3239912883,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,2,0,9,88.6531156921,34.5964122539,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,3,0,7,132.956390672,62.9320179275,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,4,0,7,134.942431473,25.8556954526,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,5,0,8,85.5900459799,47.1302031206,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,6,0,9,88.2201813508,43.0611071802,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,7,0,6,142.453070063,40.5889855376,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,8,0,10,74.2303481832,30.6182362902,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,9,0,8,87.3894362047,56.9102187577,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,0,1,9,76.6460709144,57.1663899579,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,1,1,6,84.2334992874,93.3629422539,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,2,1,5,162.406506946,67.4475077013,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,3,1,13,44.2147685972,44.1424170839,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,4,1,11,81.5700310115,38.9896693479,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,5,1,8,76.7632032135,56.823050354,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,6,1,6,121.496881245,58.5882368779,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,7,1,5,222.763848604,59.694178467,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,8,1,9,64.826710974,53.113305919,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,9,1,8,84.3945738584,55.2838011462,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,0,2,5,190.94054873,29.8010073662,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,1,2,7,144.290721049,21.686119948,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,2,2,9,116.473181214,22.6224962229,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,3,2,10,69.7371725226,40.265952541,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,4,2,6,170.973924298,19.8949969991,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,5,2,12,65.5136747009,31.2112065005,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,6,2,10,75.1313954729,34.9378416104,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,7,2,7,92.25428418,59.3068418448,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,8,2,6,109.641128555,65.6956718756,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,9,2,7,65.8939720198,87.77046675,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,0,3,12,59.3898961422,38.4297761416,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,1,3,9,101.301652183,32.3631696037,773.600134295,383.418299714
10,10,100.0,45.4545454545,0.01,0.022,2,3,9,37.1011502361,94.5848116713,773.600134295,383.418299714
