dim_col,dim_row,round,drone_speed,sec_Buf,sec_Dur,lam_Buf,lam_Dur,random,col,row,time,event_id,mssd_evnts
10,10,200,10,100.0,166.666666667,0.01,0.006,0,0,0,1531251319.15,3,4
10,10,200,10,100.0,166.666666667,0.01,0.006,0,1,0,1531251325.19,5,5
10,10,200,10,100.0,166.666666667,0.01,0.006,0,2,0,1531251415.49,4,4
10,10,200,10,100.0,166.666666667,0.01,0.006,0,3,0,0,0,4,
10,10,200,10,100.0,166.666666667,0.01,0.006,0,4,0,0,0,6,
10,10,200,10,100.0,166.666666667,0.01,0.006,0,5,0,1531251514.15,2,3
10,10,200,10,100.0,166.666666667,0.01,0.006,0,6,0,1531251601.08,4,3
10,10,200,10,100.0,166.666666667,0.01,0.006,0,7,0,0,0,5,
10,10,200,10,100.0,166.666666667,0.01,0.006,0,8,0,1531251695.69,4,3
10,10,200,10,100.0,166.666666667,0.01,0.006,0,9,0,1531251702.64,3,2
10,10,200,10,100.0,166.666666667,0.01,0.006,0,0,1,1531251314.62,2,3
10,10,200,10,100.0,166.666666667,0.01,0.006,0,1,1,1531250872.98,1,3
1,1,1531251331.64,4,3
10,10,200,10,100.0,166.666666667,0.01,0.006,0,2,1,1531251411.15,5,4
10,10,200,10,100.0,166.666666667,0.01,0.006,0,3,1,1531250863.42,1,5
10,10,200,10,100.0,166.666666667,0.01,0.006,0,4,1,1531251503.89,4,4
10,10,200,10,100.0,166.666666667,0.01,0.006,0,5,1,1531251520.11,2,2
10,10,200,10,100.0,166.666666667,0.01,0.006,0,6,1,1531251596.75,4,3
10,10,200,10,100.0,166.666666667,0.01,0.006,0,7,1,1531250844.9,1,3
10,10,200,10,100.0,166.666666667,0.01,0.006,0,8,1,0,0,5,
10,10,200,10,100.0,166.666666667,0.01,0.006,0,9,1,1531251708.67,5,4
10,10,200,10,100.0,166.666666667,0.01,0.006,0,0,2,0,0,5,
10,10,200,10,100.0,166.666666667,0.01,0.006,0,1,2,1531251336.66,2,3
10,10,200,10,100.0,166.666666667,0.01,0.006,0,2,2,1531250894.13,1,2
2,2,1531251406.82,2,2
10,10,200,10,100.0,166.666666667,0.01,0.006,0,3,2,1531250898.45,1,2
3,2,1531251431.99,3,2
10,10,200,10,100.0,166.666666667,0.01,0.006,0,4,2,1531250902.99,2,3
10,10,200,10,100.0,166.666666667,0.01,0.006,0,5,2,1531250907.32,1,0
5,2,1531251524.54,2,0
10,10,200,10,100.0,166.666666667,0.01,0.006,0,6,2,1531251592.43,3,3
10,10,200,10,100.0,166.666666667,0.01,0.006,0,7,2,1531250915.99,1,2
7,2,1531251617.89,4,2
10,10,200,10,100.0,166.666666667,0.01,0.006,0,8,2,1531251686.83,4,4
10,10,200,10,100.0,166.666666667,0.01,0.006,0,9,2,0,0,7,
