dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,166.666666667,0.01,0.006,0,0,4,130.80813091,170.705718499,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,1,0,3,43.7338798016,308.277224848,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,2,0,5,69.397268803,163.967765572,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,3,0,3,10.4114027744,362.61639431,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,4,0,3,159.119082125,213.916112716,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,5,0,6,98.4614898258,144.98273987,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,6,0,3,131.267126768,316.842065104,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,7,0,5,148.242310111,101.898076164,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,8,0,3,182.393247976,255.825857529,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,9,0,4,89.6667864336,198.052091327,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,0,1,8,72.1936683929,59.9925404536,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,1,1,3,339.176329849,136.430749126,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,2,1,6,49.638713671,130.135572481,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,3,1,4,60.8267348936,303.785162284,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,4,1,4,221.901760864,65.3532957406,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,5,1,6,127.888752898,88.5799982397,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,6,1,6,95.8450490356,102.950825909,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,7,1,5,62.0856500867,177.386166668,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,8,1,4,214.543402587,95.7995119267,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,9,1,7,24.1462512375,188.972869045,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,0,2,6,75.4048927921,118.694037739,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,1,2,4,82.9044572546,195.289513522,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,2,2,4,121.140859186,150.61889912,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,3,2,5,129.065044466,233.080320294,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,4,2,3,77.3792650945,357.959416358,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,5,2,6,44.5934273475,154.194097227,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,6,2,4,159.119308638,175.553760763,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,7,2,2,63.7221386691,515.614879893,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,8,2,8,69.5224945513,82.961761805,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,9,2,6,102.886741475,90.1000843713,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,0,3,5,72.0449483557,158.234510037,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,1,3,6,126.910170391,63.7615280133,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,2,3,4,38.8510892741,244.541913945,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,3,3,6,83.0528455994,105.016070696,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,4,3,3,32.6124805077,317.75841439,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,5,3,5,151.183718865,133.438554609,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,6,3,8,38.9506120409,118.802494408,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,7,3,5,116.408186536,128.908255406,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,8,3,8,89.6504098624,44.9425929929,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,9,3,8,81.6608867191,74.6677680532,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,0,4,5,43.7877333144,171.235289283,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,1,4,3,214.496957745,198.113288253,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,2,4,3,180.361566811,215.989292071,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,3,4,7,52.1804289555,115.337614383,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,4,4,4,27.8635795297,242.028663167,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,5,4,3,190.848219078,232.433050817,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,6,4,4,121.760271048,168.688015593,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,7,4,4,175.883346358,179.504939831,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,8,4,3,115.986687775,243.120789358,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,9,4,4,154.020843568,121.568690992,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,0,5,6,89.861600307,86.8049685112,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,1,5,7,57.8470733422,97.1813240199,481.267582427,745.551996222
10,10,100.0,166.666666667,0.01,0.006,2,5,5,52.8252510756,161.298109092,481.267582427,745.551996222
