dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,62.5,0.01,0.016,0,0,6,97.787716589,82.4219846241,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,1,0,4,108.162662529,157.191485745,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,2,0,7,87.669437519,64.0770478153,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,3,0,6,176.02199878,78.7287890399,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,4,0,3,402.285984541,97.6139616286,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,5,0,6,153.098851653,49.3249103687,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,6,0,6,101.257406451,73.2703565957,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,7,0,7,72.4044702271,78.3630502026,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,8,0,6,120.385073442,68.6282871638,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,9,0,7,59.2033228799,99.999005608,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,0,1,5,212.74091172,33.7760018147,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,1,1,10,95.9840957129,22.5554924558,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,2,1,7,145.4604696,73.9228776992,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,3,1,7,93.3913470033,71.9896980848,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,4,1,5,181.807564999,47.7409454186,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,5,1,7,106.360923909,48.8501688155,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,6,1,7,78.1995720485,71.2576897779,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,7,1,9,72.308826903,73.7733841731,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,8,1,9,96.4832911714,72.354491153,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,9,1,7,114.077090606,56.2200300697,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,0,2,7,87.7492868696,85.1290200401,688.273882829,466.085585546
10,10,100.0,62.5,0.01,0.016,1,2,7,55.2907614881,128.995839706,688.273882829,466.085585546
